# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop	log10_G_over_aH_drmd
0.022541748	0.1492913	0.7469413	3.268893	1.020614	0.1617498	0.5957654	0.128098	2.157037	13.01316
0.02272963	0.1477169	0.7545685	3.221022	1.022991	0.1465766	0.5261288	0.1172702	2.08124	13.36515
0.02283446	0.1482058	0.744201	3.258374	1.017208	0.1638927	0.5182517	0.1313208	2.116217	13.32407
0.02229181	0.1461561	0.7532953	3.292595	1.03472	0.1824007	0.5800797	0.1648076	2.343965	13.73395
0.02209074	0.1490804	0.7116229	3.13553	0.9888211	0.0953213	0.2898065	0.1581151	2.277693	13.24319
0.02261877	0.1473946	0.7196887	3.112264	1.000163	0.08263978	0.3661296	0.1619059	2.503239	13.90872
0.02234981	0.147468	0.7297099	3.076259	1.004267	0.05699468	0.370044	0.123619	2.274999	13.42932
0.022620339	0.1418819	0.7282116	3.116512	1.001548	0.07757871	0.1929789	0.1599506	2.471447	12.52934
0.022137498	0.1488091	0.7045495	3.052614	0.9844147	0.05160873	0.2627998	0.1598619	2.476021	12.84979
0.02203847	0.1480453	0.714245	3.121383	0.9944479	0.0894571	0.4490727	0.1861947	2.603527	13.15015
0.02305053	0.1433821	0.7479413	3.093854	1.011459	0.08688059	0.3706139	0.1429467	2.373388	12.70525
0.02211019	0.146578	0.7003367	3.111413	0.9704536	0.08568099	0.2320947	0.2156553	2.828648	13.41238
0.02220711	0.1486463	0.6978051	3.100909	0.9714947	0.09027009	0.2699668	0.2031939	2.822786	12.65189
0.02185024	0.1469057	0.6798326	3.10972	0.9565746	0.09073377	0.1968773	0.21012	2.794917	13.79996
0.021978298	0.1459411	0.6746616	3.106768	0.9632799	0.08335358	0.1202668	0.2420766	2.948763	12.62877
0.02162817	0.1423081	0.6896266	3.040523	0.9750194	0.05528189	0.2137673	0.2559922	3.065848	12.36118
0.021826489	0.1443409	0.7002097	3.060974	0.9744065	0.06035235	0.1553967	0.203877	2.732345	13.83971
0.0218192	0.1479919	0.7014767	3.083858	0.9800188	0.07129104	0.2385506	0.1875908	2.689944	13.65249
0.022444911	0.1432904	0.7408706	3.080179	0.9989182	0.07561283	0.3089179	0.1249653	2.275994	13.97481
0.02205928	0.147349	0.711699	3.061752	0.9873797	0.06788276	0.2726299	0.1298987	2.073037	13.0557
0.02240303	0.1452164	0.7256488	3.153856	0.9922704	0.1141366	0.3216407	0.1511971	2.418844	12.76268
0.02276837	0.1407778	0.7490549	3.228782	1.004275	0.1655946	0.3258097	0.1391024	2.344065	13.1412
0.02232618	0.1459842	0.724235	3.221437	0.986568	0.1492185	0.3298963	0.1425998	2.250908	13.39113
0.022781419	0.141915	0.7417935	3.273543	0.9958779	0.1767999	0.2785966	0.1415141	2.079738	13.76877
0.02243159	0.1412394	0.7516173	3.272571	1.003436	0.1880099	0.3705147	0.1582508	2.339382	13.8911
0.02274894	0.1467793	0.7319792	3.296358	1.005196	0.1815251	0.3528697	0.1524363	2.371824	12.47507
0.0226733	0.1490378	0.7354218	3.264028	1.008793	0.1593876	0.4989498	0.1710633	2.418115	13.0796
0.022781478	0.1487848	0.7357355	3.222216	1.0082	0.1442776	0.3600765	0.1173264	2.069138	13.60492
0.02317768	0.1464576	0.7488096	3.283809	1.021299	0.1760638	0.4918939	0.1345441	2.107439	13.6217
0.02298351	0.1490303	0.7476653	3.248221	1.02741	0.1540551	0.5453805	0.1310642	2.197783	12.63114
0.022588028	0.1493353	0.7422598	3.22478	1.018363	0.1435793	0.5120219	0.1345949	2.155733	13.77245
0.022816738	0.1462725	0.7382668	3.264582	1.019128	0.1700973	0.4435838	0.1399559	2.135297	13.53339
0.0221742	0.1454733	0.7443229	3.262079	1.033937	0.1690439	0.488055	0.1583919	2.268426	13.95679
0.02199846	0.1493846	0.710885	3.123543	0.9874551	0.08768012	0.2632504	0.1355499	2.300941	13.13383
0.022783889	0.1442892	0.7277522	3.071405	1.007036	0.06018201	0.2860183	0.1739783	2.511492	13.7145
0.022735381	0.1425537	0.7416116	3.069008	1.017869	0.05860961	0.3416992	0.1377148	2.35298	13.38676
0.022503559	0.141877	0.7345753	3.125008	1.001281	0.08033331	0.2541834	0.1482082	2.507386	12.47226
