# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.02292308	0.1230117	0.7070881	3.023186	0.9781415	0.05079057	0.2632294	0.6483982	4.141545
0.02335674	0.1226265	0.7418782	3.038672	0.99279	0.07035204	0.5348894	0.5175576	3.977368
0.02342201	0.1175619	0.7364934	3.046064	0.9999678	0.0730081	0.3163701	0.6516499	3.468932
0.02346113	0.1171198	0.7508801	3.079376	1.005193	0.09400794	0.4641201	0.55355	4.731353
0.02321974	0.1213302	0.7497917	3.096981	0.9965158	0.09734836	0.5985108	0.7677452	3.996221
0.023495158	0.1222365	0.7463349	3.100493	0.9891404	0.1022089	0.5744139	0.5673501	3.574262
0.023974929	0.1299743	0.7606704	3.097513	0.9821862	0.09792114	0.899787	0.4597301	4.058536
0.02417637	0.1309471	0.7830662	3.074062	0.9778055	0.08834413	1.07224	0.6911832	3.700368
0.02317237	0.1233862	0.7512236	3.054913	0.9816743	0.07570395	0.6569893	0.7863604	4.173034
0.02310432	0.122351	0.7330582	3.068336	0.9794119	0.07857637	0.4682719	0.8419468	3.92613
0.02338278	0.1212643	0.7469093	3.051793	0.985782	0.07292136	0.5182467	0.4520416	2.895244
0.023153309	0.1223024	0.7468148	3.03725	0.9924133	0.07065169	0.5961446	0.5382079	3.753245
0.023371428	0.1212162	0.7500417	3.027178	0.9898926	0.06675272	0.565577	0.4976306	3.028189
0.02310528	0.1162	0.7169385	3.050092	0.9834934	0.07948142	0.160224	0.1813291	2.873478
0.022973849	0.1144785	0.7167542	3.049374	0.983573	0.08362804	0.0988099	0.4333652	2.841709
0.023042979	0.1134817	0.7075567	3.089431	0.9825353	0.09591466	0.000700305	0.5178445	2.682923
0.02300844	0.114322	0.7101921	3.062166	0.9838655	0.07915693	0.04335564	0.5767927	2.222762
0.023341391	0.1197014	0.7236336	3.057818	0.9750515	0.0675739	0.2725321	0.7121649	2.463277
0.02319262	0.115272	0.7198247	3.03567	0.9803143	0.06284922	0.1160913	0.4666302	3.491696
0.02408945	0.1190657	0.7666996	3.057587	0.9876393	0.07879596	0.5715396	0.2211428	2.777207
0.02349552	0.1220304	0.7536158	3.042281	0.9850142	0.07039261	0.5768218	0.3259768	2.578829
0.02270186	0.1201126	0.6892244	3.044232	0.9849676	0.06952906	0.05332293	0.5840417	2.141346
0.02318045	0.1223671	0.7094983	3.06096	0.9853841	0.07834365	0.2719283	0.380043	2.886565
0.02316849	0.1259165	0.7510609	3.047918	0.986487	0.0672108	0.7378336	0.6440553	4.663846
0.022812309	0.1266497	0.727233	3.054567	0.9818522	0.07642284	0.5930587	0.5853049	4.241716
0.02374406	0.125046	0.747084	3.080991	0.9773904	0.08618837	0.6122014	0.008425439	4.620893
0.02321357	0.1261834	0.7230365	3.041503	0.9768268	0.06251835	0.4977915	0.1263044	4.780756
0.02301289	0.12672	0.7249434	3.051549	0.9751784	0.07167327	0.5532042	0.3215931	3.636332
0.02342663	0.1234897	0.7236805	3.039204	0.9753351	0.06995497	0.4251048	0.376678	4.740229
0.02265955	0.1264089	0.6974426	3.046019	0.962705	0.07214838	0.3608292	0.158532	3.292826
0.023273349	0.1283936	0.7159537	3.021669	0.958254	0.05773401	0.4916175	0.1510601	2.413081
0.022781769	0.126256	0.6988627	3.024511	0.9642281	0.05979303	0.3339478	0.2049701	2.664574
0.02311047	0.1226736	0.7102192	3.046413	0.97109	0.07171624	0.2748398	0.08102271	3.788483
0.02377022	0.1235661	0.7486952	3.064513	0.98301	0.0848813	0.5805031	0.1596077	4.188266
0.02354995	0.1250178	0.7359456	3.051034	0.9720709	0.07249797	0.5308885	0.1618063	4.468055
0.023040809	0.1267611	0.7195358	3.047739	0.9695653	0.06652773	0.4584217	0.3557636	4.697988
0.02291794	0.1284376	0.7253565	3.067152	0.9785052	0.07663376	0.6023981	0.2679704	4.265
0.023221271	0.1267061	0.7384573	3.087112	0.9797047	0.08895636	0.6213085	0.3656455	3.471902
0.023677029	0.1245353	0.7515028	3.04912	0.9825437	0.06988158	0.6307351	0.5634369	4.604765
0.02322745	0.1231704	0.7319569	3.057344	0.9739918	0.07464122	0.4749443	0.8621535	4.138779
0.02297199	0.1230424	0.71695	3.074293	0.9726089	0.07909964	0.3719347	0.5385024	3.600028
0.02263323	0.1197922	0.6944133	3.074196	0.9744597	0.07424409	0.0981021	0.5270327	3.672379
0.02284714	0.121592	0.7147508	3.055355	0.9773178	0.07320514	0.3225177	0.4049606	3.347332
0.02283657	0.1182895	0.7018138	3.114219	0.9802332	0.1040498	0.09066677	0.4597264	2.233708
0.022806529	0.1245006	0.7018326	3.094077	0.9744615	0.09224454	0.300785	0.6542659	2.982566
0.02322535	0.1273675	0.7393173	3.066425	0.9732143	0.07911865	0.6874251	0.8515847	2.776917
