# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio
0.022587571	0.1183961	68.55028	3.049632	0.9689759	0.05758742
0.02240755	0.1194727	67.93067	3.079602	0.9591376	0.0773044
0.02229746	0.1204291	67.38304	3.090109	0.9546729	0.07960313
0.022447169	0.116194	68.99189	3.107655	0.9659193	0.08203875
0.021972649	0.1169477	68.12714	3.091023	0.9651581	0.07314388
0.021811308	0.1175471	67.69147	3.0731	0.9639596	0.06787846
0.02209214	0.118754	67.67758	3.041278	0.9652964	0.05069823
0.02237448	0.1170824	68.48954	3.069252	0.9757256	0.06687736
0.02237448	0.1170824	68.48954	3.069252	0.9757256	0.06687736
0.02240973	0.1181894	68.11803	3.044562	0.9673177	0.04787546
0.02276529	0.119172	68.05678	3.062006	0.9656766	0.05706261
0.02296622	0.115336	69.56702	3.140941	0.9845018	0.1122621
0.02315885	0.116009	69.44212	3.106922	0.9799474	0.09713418
0.023078378	0.1187141	68.4425	3.095516	0.9726905	0.08150658
0.023078378	0.1187141	68.4425	3.095516	0.9726905	0.08150658
0.0229057	0.1173139	68.88833	3.070066	0.9769075	0.07753072
0.02277923	0.1194406	67.79987	3.054891	0.9713161	0.06932608
0.02256052	0.1218096	66.76299	3.046751	0.9668439	0.06411912
0.0227322	0.1187713	68.04388	3.049019	0.9725246	0.06906881
0.022616578	0.1192514	67.90625	3.079639	0.9688283	0.08072635
